" was not delivered nor scanned","לא נשלח ולא נסרק"
"1 Day Freight","משלוח ביום אחד"
"2 Day Freight","משלוח בשני ימים"
"2Day","יומיים"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","משלוח בשלושה ימים"
"3 Day Select","3 Day Select"
"Access ID","קוד גישה"
"Access license number","מספר רשיון גישה"
"Account ID","קוד חשבון"
"Account number","מספר חשבון"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"All Services","כל השירותים"
"Allowed methods","פעולות מורשות"
"Bound Printed Matter","Bound Printed Matter"
"Business Service Center","מרכז שירות עיסקי"
"Calculate Handling Fee","חשב עלות טיפול"
"Canada Standard","סטנדרטי קנדה"
"Cannot retrieve shipping rates","לא יכול לקבל תעריפי הובלה"
"Commercial","מסחרי"
"Configuration","הגדרות"
"Container","Container"
"Customer Packaging","חבילות לקוח"
"DHL","DHL"
"Default Package Height","חבילה - גובה ברירת מחדל"
"Default Package Length","חבילה - אורך ברירת מחדל"
"Default Package Width","חבילה - רוחב ברירת מחדל"
"Delivered","נמסר"
"Destination type","סוג יעד"
"Displayed Error Message","הודעת שגיאה מוצגת"
"Domestic Shipment Days","Domestic Shipment Days"
"Drop Box","תיבת בחירה"
"Dropoff","Dropoff"
"Empty response","תגובה ריקה"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled","פעיל"
"Error #%s : %s (%s)","שגיאה #%s : %s (%s)"
"Error #%s: %s","שגיאה #%s: %s"
"Europe First Priority","Europe First Priority"
"Express","מהיר"
"Express 10:30 AM","מהיר עד 10:30"
"Express Mail","דואר מהיר"
"Express Saturday","Express Saturday"
"Express Saver","Express Saver"
"FedEx","פדקס"
"FedEx 10kg Box","פדקס - קופסא 10ק""ג"
